Query	Document	Answer	Context_Relevance_Label	Answer_Faithfulness_Label	Answer_Relevance_Label
Empresa que va a redactar por primera vez su política de SST. ¿Qué es la política de SST y cómo debo formalizarla?	Evaluaciones médicas ocupacionales. criterios: Realizar las evaluaciones médicas ocupacionales de acuerdo con la normatividad y los peligros/riesgos a los cuales se encuentre expuesto el trabajador. Modo de verificación: Conceptos emitidos por el médico evaluador en el cual informe recomendaciones y restricciones laborales. 	La política de SST debe quedar por escrito y hacer parte de las políticas de gestión de la empresa. Debe tener alcance sobre todos los centros de trabajo y todos los trabajadores, sin importar su forma de contratación o vinculación —incluyendo contratistas y subcontratistas—, y debe comunicarse al Comité Paritario o al Vigía de SST, según corresponda.	0	0	1
Empresa que va a redactar por primera vez su política de SST. ¿Qué es la política de SST y cómo debo formalizarla?	El empleador o contratante debe establecer por escrito una política de Seguridad y Salud en el Trabajo (SST) que debe ser parte de las políticas de gestión de la empresa, con alcance sobre todos sus centros de trabajo y todos sus trabajadores, independiente de su forma de contratación o vinculación, incluyendo los contratistas y subcontratistas. Esta política debe ser comuni­cada al Comité Paritario o Vigía de Seguridad y Salud en el Trabajo según corresponda de conformidad con la normatividad vigente. 	El Comité debe reunirse al menos una vez al mes, en el local de la empresa y durante el horario de trabajo.	1	0	0
MiPyme de riesgo I con recursos limitados que teme que la política deba ser igual de compleja que en una empresa grande. ¿Mi política de SST debe ser tan extensa como la de una empresa grande?	La Política de SST de la empresa debe entre otros, cumplir con los siguientes requi­sitos: 1. Establecer el compromiso de la empresa hacia la implementación del SST de la empresa para la gestión de los riesgos laborales. 2. Ser específica para la empresa y apropiada para la naturaleza de sus peligros y el tamaño de la organización. 3. Ser concisa, redactada con claridad, estar fechada y firmada por el representante legal de la empresa. 4. Debe ser difundida a todos los niveles de la organización y estar accesible a todos los trabajadores y demás partes interesadas, en el lugar de trabajo; y 5. Ser revisada como mínimo una vez al año y de requerirse, actualizada acorde con los cambios tanto en materia de Seguridad y Salud en el Trabajo (SST), como en la empresa.	La política de SST no tiene que ser tan extensa como la de una empresa grande: la norma exige que sea específica para la empresa y apropiada a la naturaleza de sus peligros y al tamaño de la organización, además de concisa, redactada con claridad, fechada y firmada por el representante legal. También debe difundirse a todos los niveles y estar accesible en el lugar de trabajo, y revisarse como mínimo una vez al año.	1	1	1
MiPyme de riesgo I con recursos limitados que teme que la política deba ser igual de compleja que en una empresa grande. ¿Mi política de SST debe ser tan extensa como la de una empresa grande?	Plan Anual de Trabajo. Criterios: Elaborar el Plan Anual de Trabajo del Sistema de Gestión de SST, firmado por el empleador o con-tratante, en el que se identifiquen como mínimo: objetivos, metas, responsabilidades, recursos y cronograma anual. Modo de verificacion: Solicitar documento que contenga Plan Anual de Trabajo 	La política de SST no tiene que ser tan extensa como la de una empresa grande: la norma exige que sea específica para la empresa y apropiada a la naturaleza de sus peligros y al tamaño de la organización, además de concisa, redactada con claridad, fechada y firmada por el representante legal. También debe difundirse a todos los niveles y estar accesible en el lugar de trabajo, y revisarse como mínimo una vez al año.	0	0	1
MiPyme de riesgo I con recursos limitados que teme que la política deba ser igual de compleja que en una empresa grande. ¿Mi política de SST debe ser tan extensa como la de una empresa grande?	La Política de SST de la empresa debe entre otros, cumplir con los siguientes requi­sitos: 1. Establecer el compromiso de la empresa hacia la implementación del SST de la empresa para la gestión de los riesgos laborales. 2. Ser específica para la empresa y apropiada para la naturaleza de sus peligros y el tamaño de la organización. 3. Ser concisa, redactada con claridad, estar fechada y firmada por el representante legal de la empresa. 4. Debe ser difundida a todos los niveles de la organización y estar accesible a todos los trabajadores y demás partes interesadas, en el lugar de trabajo; y 5. Ser revisada como mínimo una vez al año y de requerirse, actualizada acorde con los cambios tanto en materia de Seguridad y Salud en el Trabajo (SST), como en la empresa.	El costo de las evaluaciones médicas ocupacionales y de las pruebas o valoraciones complementarias está a cargo del empleador en su totalidad; en ningún caso pueden cobrarse o solicitarse al aspirante o al trabajador. El empleador puede contratarlas con instituciones prestadoras de servicios de salud ocupacional, con EPS o directamente con médicos especialistas en medicina del trabajo con licencia vigente.	1	0	0
Dueño de MiPyme que no sabe qué recursos debe destinar al SG-SST. ¿Qué recursos debo asignar para implementar el SG-SST?	4. Definición de Recursos: Debe definir y asignar los recursos financieros, técnicos y el personal necesario para el diseño, implementación, revisión evaluación y mejora de las medidas de prevención y control, para la gestión eficaz de los peligros y riesgos en el lugar de trabajo y también, para que los responsables de la seguridad y salud en el trabajo en la empresa, el Comité Paritario o Vigía de Seguridad y Salud en el Trabajo según correspon­da, puedan cumplir de manera satisfactoria con sus funciones. 	Debe definir y asignar los recursos financieros, técnicos y de personal necesarios para diseñar, implementar, revisar, evaluar y mejorar las medidas de prevención y control de peligros y riesgos en el lugar de trabajo, así como para que el responsable de SST y el Comité Paritario o Vigía puedan cumplir satisfactoriamente sus funciones.	1	1	1
Dueño de MiPyme que no sabe qué recursos debe destinar al SG-SST. ¿Qué recursos debo asignar para implementar el SG-SST?	El Comité de Medicina, Higiene y Seguridad Industrial se reunirá por lo menos una vez al mes en el local de la empresa y durante el horario de trabajo.	Debe definir y asignar los recursos financieros, técnicos y de personal necesarios para diseñar, implementar, revisar, evaluar y mejorar las medidas de prevención y control de peligros y riesgos en el lugar de trabajo, así como para que el responsable de SST y el Comité Paritario o Vigía puedan cumplir satisfactoriamente sus funciones.	0	0	1
Dueño de MiPyme que no sabe qué recursos debe destinar al SG-SST. ¿Qué recursos debo asignar para implementar el SG-SST?	4. Definición de Recursos: Debe definir y asignar los recursos financieros, técnicos y el personal necesario para el diseño, implementación, revisión evaluación y mejora de las medidas de prevención y control, para la gestión eficaz de los peligros y riesgos en el lugar de trabajo y también, para que los responsables de la seguridad y salud en el trabajo en la empresa, el Comité Paritario o Vigía de Seguridad y Salud en el Trabajo según correspon­da, puedan cumplir de manera satisfactoria con sus funciones. 	El SG-SST es de obligatorio cumplimiento para todos los empleadores públicos y privados, sin distinción de su tamaño, y cubre también a contratantes bajo modalidad civil, comercial o administrativa, organizaciones solidarias, cooperativas y empresas de servicios temporales, así como a los trabajadores dependientes, contratistas, cooperados y en misión. El tamaño reducido de la empresa no la exime de implementarlo.	1	0	0
MiPyme de 7 trabajadores que aún no ha designado un responsable de SST. ¿Necesito designar a alguien responsable del SG-SST en mi empresa?	10. Dirección de la Seguridad y Salud en el Trabajo (SST) en las Empresas: Debe ga­rantizar la disponibilidad de personal responsable de la seguridad y la salud en el trabajo, cuyo perfil deberá ser acorde con lo establecido con la normatividad vigente y los están­dares mínimos que para tal efecto determine el Ministerio del Trabajo quienes deberán, entre otras: 10.1. Planear, organizar, dirigir, desarrollar y aplicar el Sistema de Gestión de la Se­guridad y Salud en el Trabajo (SG-SST), y como mínimo una (1) vez al año, realizar su evaluación; 10.2. Informar a la alta dirección sobre el funcionamiento y los resultados del Sistema de Gestión de la Seguridad y Salud en el Trabajo (SG-SST), y; 10.3. Promover la participación de todos los miembros de la empresa en la implemen­tación del Sistema de Gestión de la Seguridad y Salud en el Trabajo (SG-SST); 	Debe garantizar la disponibilidad de personal responsable de la seguridad y salud en el trabajo, con un perfil acorde a la normatividad vigente y a los estándares mínimos que defina el Ministerio del Trabajo; esa persona debe planear, organizar, dirigir y evaluar el SG-SST al menos una vez al año, informar sus resultados a la alta dirección y promover la participación de todos los niveles de la empresa en su implementación.	1	1	1
MiPyme de 7 trabajadores que aún no ha designado un responsable de SST. ¿Necesito designar a alguien responsable del SG-SST en mi empresa?	Para determinar la clase de riesgo en la que se clasifica la empresa se deberá proceder así: 1. Identificar el Código de Clasificación Industrial Internacional Uniforme – Código CIIU de la actividad económica principal, señalado en el Registro Único Tributario — RUT; 2. Ubicar el código identificado en la columna denominada «Código CIIU Rev. 4 A.C.» de la Tabla de Clasificación de Actividades Económicas.	Debe garantizar la disponibilidad de personal responsable de la seguridad y salud en el trabajo, con un perfil acorde a la normatividad vigente y a los estándares mínimos que defina el Ministerio del Trabajo; esa persona debe planear, organizar, dirigir y evaluar el SG-SST al menos una vez al año, informar sus resultados a la alta dirección y promover la participación de todos los niveles de la empresa en su implementación.	0	0	1
MiPyme de 7 trabajadores que aún no ha designado un responsable de SST. ¿Necesito designar a alguien responsable del SG-SST en mi empresa?	10. Dirección de la Seguridad y Salud en el Trabajo (SST) en las Empresas: Debe ga­rantizar la disponibilidad de personal responsable de la seguridad y la salud en el trabajo, cuyo perfil deberá ser acorde con lo establecido con la normatividad vigente y los están­dares mínimos que para tal efecto determine el Ministerio del Trabajo quienes deberán, entre otras: 10.1. Planear, organizar, dirigir, desarrollar y aplicar el Sistema de Gestión de la Se­guridad y Salud en el Trabajo (SG-SST), y como mínimo una (1) vez al año, realizar su evaluación; 10.2. Informar a la alta dirección sobre el funcionamiento y los resultados del Sistema de Gestión de la Seguridad y Salud en el Trabajo (SG-SST), y; 10.3. Promover la participación de todos los miembros de la empresa en la implemen­tación del Sistema de Gestión de la Seguridad y Salud en el Trabajo (SG-SST); 	Debe definir y asignar los recursos financieros, técnicos y de personal necesarios para diseñar, implementar, revisar, evaluar y mejorar las medidas de prevención y control de peligros y riesgos en el lugar de trabajo, así como para que el responsable de SST y el Comité Paritario o Vigía puedan cumplir satisfactoriamente sus funciones.	1	0	0
Empresa que debe capacitar a sus trabajadores en SST pero no sabe el alcance mínimo. ¿Qué debo cubrir en la capacitación de SST de mis trabajadores?	El em­pleador o contratante debe definir los requisitos de conocimiento y práctica en seguridad y salud en el trabajo necesarios para sus trabajadores, también debe adoptar y mantener disposiciones para que estos los cumplan en todos los aspectos de la ejecución de sus de­beres u obligaciones, con el fin de prevenir accidentes de trabajo y enfermedades laborales. Para ello, debe desarrollar un programa de capacitación que proporcione conocimiento para identificar los peligros y controlar los riesgos relacionados con el trabajo, hacerlo extensivo a todos los niveles de la organización incluyendo a trabajadores dependientes, contratistas, trabajadores cooperados y los trabajadores en misión, estar documentado, ser impartido por personal idóneo conforme a la normatividad vigente. 	Debe definir los requisitos de conocimiento y práctica en SST que necesitan sus trabajadores y adoptar disposiciones para que los cumplan en el desarrollo de sus funciones, con el fin de prevenir accidentes y enfermedades laborales. Para ello debe desarrollar un programa de capacitación documentado, impartido por personal idóneo, que dé conocimiento para identificar peligros y controlar riesgos, extendido a todos los niveles de la organización, incluidos contratistas, cooperados y trabajadores en misión.	1	1	1
Empresa que debe capacitar a sus trabajadores en SST pero no sabe el alcance mínimo. ¿Qué debo cubrir en la capacitación de SST de mis trabajadores?	Remisión de investigaciones. El aportante debe remitir a la Administradora de Riesgos Profesionales a la que se encuentre afiliado, dentro de los quince (15) días siguientes a la ocurrencia del evento, el informe de investigación del accidente de trabajo mortal y de los accidentes graves definidos en el artículo 3º de la presente resolución.   Recibida la investigación por la Administradora de Riesgos Profesionales, esta la evaluará, complementará y emitirá concepto sobre el evento correspondiente, determinando las acciones de prevención que debe implementar el aportante, en un plazo no superior a quince (15) días hábiles.   Cuando el accidente de trabajo sea mortal, la Administradora de Riesgos Profesionales remitirá el informe dentro de los diez (10) días hábiles siguientes a la emisión del concepto, junto con la investigación y copia del informe del accidente de trabajo, a la Dirección Territorial de Trabajo o a la Oficina Especial de Trabajo del Ministerio de la Protección Social, según sea el caso, a efecto de que se adelante la correspondiente investigación administrativa laboral y se impongan las sanciones a que hubiere lugar si fuere del caso.   Para efecto de la investigación del accidente de trabajo mortal, los formatos deben contener, como mínimo, los requisitos establecidos en la presente resolución.   La Dirección General de Riesgos Profesionales del Ministerio de la Protección Social podrá solicitar, en cualquier tiempo, los informes de que trata el presente artículo.	Debe definir los requisitos de conocimiento y práctica en SST que necesitan sus trabajadores y adoptar disposiciones para que los cumplan en el desarrollo de sus funciones, con el fin de prevenir accidentes y enfermedades laborales. Para ello debe desarrollar un programa de capacitación documentado, impartido por personal idóneo, que dé conocimiento para identificar peligros y controlar riesgos, extendido a todos los niveles de la organización, incluidos contratistas, cooperados y trabajadores en misión.	0	0	1
Empresa que debe capacitar a sus trabajadores en SST pero no sabe el alcance mínimo. ¿Qué debo cubrir en la capacitación de SST de mis trabajadores?	El em­pleador o contratante debe definir los requisitos de conocimiento y práctica en seguridad y salud en el trabajo necesarios para sus trabajadores, también debe adoptar y mantener disposiciones para que estos los cumplan en todos los aspectos de la ejecución de sus de­beres u obligaciones, con el fin de prevenir accidentes de trabajo y enfermedades laborales. Para ello, debe desarrollar un programa de capacitación que proporcione conocimiento para identificar los peligros y controlar los riesgos relacionados con el trabajo, hacerlo extensivo a todos los niveles de la organización incluyendo a trabajadores dependientes, contratistas, trabajadores cooperados y los trabajadores en misión, estar documentado, ser impartido por personal idóneo conforme a la normatividad vigente. 	Debe realizar la identificación de peligros y la evaluación y valoración de los riesgos con el acompañamiento de la ARL a la que esté afiliada.	1	0	0
Empresa que quiere saber qué documentos debe tener listos ante una inspección. ¿Qué documentos mínimos debo mantener actualizados del SG-SST?	El empleador debe mantener disponibles y de­bidamente actualizados entre otros, los siguientes documentos en relación con el Sistema de Gestión de la Seguridad y Salud en el Trabajo (SG-SST): 1. La política y los objetivos de la empresa en materia de Seguridad y Salud en el Tra­bajo (SST), firmados por el empleador; 2. Las responsabilidades asignadas para la implementación y mejora continua del Sis­tema de Gestión de la Seguridad y Salud en el Trabajo (SG-SST); 3. La identificación anual de peligros y evaluación y valoración de los riesgos; 4. El informe de las condiciones de salud, junto con el perfil sociodemográfico de la población trabajadora y según los lineamientos de los programas de vigilancia epidemio­lógica en concordancia con los riesgos existentes en la organización; 5. El plan de trabajo anual en Seguridad y Salud en el Trabajo (SST) de la empresa, firmado por el empleador y el responsable del Sistema de Gestión de la Seguridad y Salud en el Trabajo (SG-SST); 6. El programa de capacitación anual en Seguridad y Salud en el Trabajo (SST), así como de su cumplimiento incluyendo los soportes de inducción, reinducción y capacita­ciones de los trabajadores dependientes, contratistas, cooperados y en misión; 7. Los procedimientos e instructivos internos de seguridad y salud en el trabajo; 8. Registros de entrega de equipos y elementos de protección personal; 9. Registro de entrega de los protocolos de seguridad, de las fichas técnicas cuando aplique y demás instructivos internos de seguridad y salud en el trabajo; 10. Los soportes de la convocatoria, elección y conformación del Comité Paritario de Seguridad y Salud en el Trabajo y las actas de sus reuniones o la delegación del Vigía de Seguridad y Salud en el Trabajo y los soportes de sus actuaciones; 11. Los reportes y las investigaciones de los incidentes, accidentes de trabajo y enfer­medades laborales de acuerdo con la normatividad vigente; 12. La identificación de las amenazas junto con la evaluación de la vulnerabilidad y sus correspondientes planes de prevención, preparación y respuesta ante emergencias; 13. Los programas de vigilancia epidemiológica de la salud de los trabajadores, inclui­dos los resultados de las mediciones ambientales y los perfiles de salud arrojados por los monitoreos biológicos, si esto último aplica según priorización de los riesgos. En el caso de contarse con servicios de médico especialista en medicina laboral o del trabajo, según lo establecido en la normatividad vigente, se deberá tener documentado lo anterior y los resultados individuales de los monitoreos biológicos; 14. Formatos de registros de las inspecciones a las instalaciones, máquinas o equipos ejecutadas; 15. La matriz legal actualizada que contemple las normas del Sistema General de Ries­gos Laborales que le aplican a la empresa; y 16. Evidencias de las gestiones adelantadas para el control de los riesgos prioritarios. 	Debe mantener disponible y actualizada, entre otros, la siguiente documentación: la política y objetivos de SST firmados por el empleador; las responsabilidades asignadas para el SG-SST; la identificación anual de peligros y valoración de riesgos; el informe de condiciones de salud y perfil sociodemográfico; el Plan Anual de Trabajo firmado por el empleador y el responsable del SG-SST; el programa de capacitación anual y sus soportes; los procedimientos internos de SST; los registros de entrega de EPP y de protocolos de seguridad; los soportes de conformación del Comité Paritario o del Vigía y las actas de sus reuniones; los reportes e investigaciones de incidentes, accidentes y enfermedades laborales; el plan de emergencias con la identificación de amenazas y vulnerabilidad; los programas de vigilancia epidemiológica; los registros de inspección de instalaciones y equipos; la matriz legal actualizada; y las evidencias de gestión sobre los riesgos prioritarios.	1	1	1
Empresa que quiere saber qué documentos debe tener listos ante una inspección. ¿Qué documentos mínimos debo mantener actualizados del SG-SST?	Para determinar la clase de riesgo en la que se clasifica la empresa se deberá proceder así: 1. Identificar el Código de Clasificación Industrial Internacional Uniforme – Código CIIU de la actividad económica principal, señalado en el Registro Único Tributario — RUT; 2. Ubicar el código identificado en la columna denominada «Código CIIU Rev. 4 A.C.» de la Tabla de Clasificación de Actividades Económicas.	Debe mantener disponible y actualizada, entre otros, la siguiente documentación: la política y objetivos de SST firmados por el empleador; las responsabilidades asignadas para el SG-SST; la identificación anual de peligros y valoración de riesgos; el informe de condiciones de salud y perfil sociodemográfico; el Plan Anual de Trabajo firmado por el empleador y el responsable del SG-SST; el programa de capacitación anual y sus soportes; los procedimientos internos de SST; los registros de entrega de EPP y de protocolos de seguridad; los soportes de conformación del Comité Paritario o del Vigía y las actas de sus reuniones; los reportes e investigaciones de incidentes, accidentes y enfermedades laborales; el plan de emergencias con la identificación de amenazas y vulnerabilidad; los programas de vigilancia epidemiológica; los registros de inspección de instalaciones y equipos; la matriz legal actualizada; y las evidencias de gestión sobre los riesgos prioritarios.	0	0	1
